Line Number, Positive Text, Label, Score
1, @VirginAmerica yes, Biased, 0.6185808777809143
2, @virginamerica Well, Biased, 0.5334212779998779
3, @VirginAmerica it was amazing, Non-biased, 0.5664993524551392
4, @VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D, Biased, 0.9935237169265747
5, @VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p, Biased, 0.9622833728790283
6, @VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn, Biased, 0.56956946849823
7, @VirginAmerica Thanks!, Biased, 0.6254685521125793
8, @VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo, Biased, 0.6207832098007202
9, I ❤️ flying @VirginAmerica. ☺️👍, Non-biased, 0.6465468406677246
10, @VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you., Biased, 0.5089964866638184
11, @VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA, Non-biased, 0.646036684513092
12, @VirginAmerica I love the hipster innovation. You are a feel good brand., Biased, 0.9015069603919983
13, @VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews, Biased, 0.5898065567016602
14, @VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday, Biased, 0.9073218703269958
15, @VirginAmerica @freddieawards Done and done! Best airline around, Biased, 0.6771034598350525
16, @VirginAmerica View of downtown Los Angeles, Biased, 0.983334481716156
17, @VirginAmerica I'm #elevategold for a good reason: you rock!!, Biased, 0.6775078177452087
18, @VirginAmerica wow this just blew my mind, Biased, 0.9592479467391968
19, @VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood, Biased, 0.7943596839904785
20, @VirginAmerica you know it. Need it on my spotify stat #guiltypleasures, Biased, 0.5287514328956604
21, @VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊, Biased, 0.7076267004013062
22, @VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!, Biased, 0.7447656393051147
23, @VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV, Non-biased, 0.8361444473266602
24, @VirginAmerica not worried, Non-biased, 0.5228607058525085
25, @VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?, Non-biased, 0.5981810092926025
26, @VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G, Non-biased, 0.5653241276741028
27, @VirginAmerica - amazing customer  service, Biased, 0.6994836330413818
28, @VirginAmerica has getaway deals through May, Biased, 0.5498533844947815
29, @VirginAmerica has getaway deals through May, Biased, 0.5498533844947815
30, @VirginAmerica Have a great week 🌞✈, Biased, 0.5407301783561707
31, @VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH, Biased, 0.6665095686912537
32, @VirginAmerica is the best airline I have flown on.Easy to change your reservation, Non-biased, 0.6182292699813843
33, @VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!, Biased, 0.976157009601593
34, @VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure., Biased, 0.8621839284896851
35, @VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, Non-biased, 0.6211529970169067
36, @VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!, Non-biased, 0.74118572473526
37, @VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!, Biased, 0.9877933859825134
38, @VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue, Biased, 0.625008225440979
39, @virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015, Non-biased, 0.5431364178657532
40, @VirginAmerica always!!! Xoxo, Biased, 0.9810057878494263
41, @VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!, Biased, 0.7681625485420227
42, @VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!, Biased, 0.9598745703697205
43, Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome., Biased, 0.9330925941467285
44, @virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf, Non-biased, 0.6366623044013977
45, @VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-), Biased, 0.5986401438713074
46, @VirginAmerica Thank you for the follow, Non-biased, 0.5151699781417847
47, 😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt, Non-biased, 0.5733745098114014
48, @VirginAmerica Only way to fly! #Elevate #Gold, Biased, 0.5448150038719177
49, @VirginAmerica you will match my #AmericanAirlines status? Cool!, Biased, 0.9871652126312256
50, @VirginAmerica thanks!, Biased, 0.6254685521125793
51, @VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue, Biased, 0.8469988703727722
52, @VirginAmerica done! Thank you for the quick response, Biased, 0.8155123591423035
53, @VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4, Biased, 0.6521074175834656
54, @VirginAmerica Keep up the great work :), Biased, 0.9818757176399231
55, @VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY, Biased, 0.5934764742851257
56, @VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously, Non-biased, 0.6008099913597107
57, @VirginAmerica Thanks so much for the awesome support, Non-biased, 0.5298900008201599
58, @VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!, Biased, 0.8217249512672424
59, @VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj, Non-biased, 0.6256672143936157
60, @VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline, Non-biased, 0.8459051847457886
61, @VirginAmerica Like http://t.co/VPqEm31XUQ, Non-biased, 0.5668306946754456
62, @VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l, Biased, 0.947468101978302
63, Awesome! RT @VirginAmerica: Watch nominated films at 35, Biased, 0.7824990153312683
64, @VirginAmerica thanks so much!, Biased, 0.6244804263114929
65, @VirginAmerica, Non-biased, 0.7382689118385315
66, @VirginAmerica Very nicely done. 👏, Biased, 0.5005361437797546
67, @VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;), Biased, 0.9267333745956421
68, @VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗, Biased, 0.9778525829315186
69, @VirginAmerica sounds like fun !, Biased, 0.7460819482803345
70, @VirginAmerica classiq, Non-biased, 0.6352740526199341
71, @VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!, Biased, 0.9802706241607666
72, @VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason, Biased, 0.9049946665763855
